Year,Krozd
1980-01-01,36.2
1981-01-01,35.9
1982-01-01,35.6
1983-01-01,35.3
1984-01-01,34.9
1985-01-01,34.4
1986-01-01,33.9
1987-01-01,33.3
1988-01-01,32.7
1989-01-01,32.1
1990-01-01,31.5
1991-01-01,30.9
1992-01-01,30.3
1993-01-01,29.8
1994-01-01,29.3
1995-01-01,28.7
1996-01-01,28.3
1997-01-01,27.8
1998-01-01,27.3
1999-01-01,26.9
2000-01-01,26.4
2001-01-01,25.9
2002-01-01,25.5
2003-01-01,25
2004-01-01,24.6
2005-01-01,24.1
2006-01-01,23.6
2007-01-01,23
2008-01-01,22.4
2009-01-01,21.8
2010-01-01,21.1
2011-01-01,20.5
2012-01-01,19.9
2013-01-01,19.4
2014-01-01,19
2015-01-01,18.6
2016-01-01,18.3
2017-01-01,18.1
2018-01-01,17.9
2019-01-01,17.6
2020-01-01,17.4
