Year,Krozd
1980-01-01,12.2
1981-01-01,12.3
1982-01-01,12.3
1983-01-01,12.3
1984-01-01,12.5
1985-01-01,12.7
1986-01-01,12.9
1987-01-01,13.1
1988-01-01,13.4
1989-01-01,13.6
1990-01-01,13.7
1991-01-01,13.8
1992-01-01,13.9
1993-01-01,13.9
1994-01-01,13.9
1995-01-01,13.8
1996-01-01,13.7
1997-01-01,13.5
1998-01-01,13.3
1999-01-01,13.1
2000-01-01,12.9
2001-01-01,12.7
2002-01-01,12.6
2003-01-01,12.5
2004-01-01,12.5
2005-01-01,12.5
2006-01-01,12.5
2007-01-01,12.5
2008-01-01,12.5
2009-01-01,12.4
2010-01-01,12.3
2011-01-01,12.1
2012-01-01,12
2013-01-01,11.8
2014-01-01,11.6
2015-01-01,11.4
2016-01-01,11.3
2017-01-01,11.2
2018-01-01,11.1
2019-01-01,11.1
2020-01-01,11.1
