Year,Krozd
1990-01-01,13.4
1991-01-01,12.1
1992-01-01,10.7
1993-01-01,9.4
1994-01-01,9.6
1995-01-01,9.3
1996-01-01,8.9
1997-01-01,8.6
1998-01-01,8.8
1999-01-01,8.3
2000-01-01,8.7
2001-01-01,9
2002-01-01,9.7
2003-01-01,10.2
2004-01-01,10.4
2005-01-01,10.2
2006-01-01,10.4
2007-01-01,11.3
2008-01-01,12.1
2009-01-01,12
2010-01-01,12.5
2011-01-01,12.6
2012-01-01,13.3
2013-01-01,13.2
2014-01-01,13.3
2015-01-01,13.3
2016-01-01,12.9
2017-01-01,11.5
2018-01-01,10.9
2019-01-01,10.1
2020-01-01,9.8
