Year,Krozd
1980-01-01,15
1981-01-01,15.1
1982-01-01,15.2
1983-01-01,15.3
1984-01-01,15.5
1985-01-01,15.6
1986-01-01,15.6
1987-01-01,15.7
1988-01-01,15.7
1989-01-01,15.7
1990-01-01,15.7
1991-01-01,15.6
1992-01-01,15.5
1993-01-01,15.3
1994-01-01,15.1
1995-01-01,14.9
1996-01-01,14.7
1997-01-01,14.5
1998-01-01,14.3
1999-01-01,14.2
2000-01-01,14.1
2001-01-01,14.1
2002-01-01,14
2003-01-01,14
2004-01-01,14
2005-01-01,14
2006-01-01,13.9
2007-01-01,13.8
2008-01-01,13.6
2009-01-01,13.4
2010-01-01,13.2
2011-01-01,13
2012-01-01,12.7
2013-01-01,12.5
2014-01-01,12.3
2015-01-01,12.2
2016-01-01,12.1
2017-01-01,12
2018-01-01,12
2019-01-01,12
2020-01-01,12
